	out_degree	in_degree	total_degree
MAPK1	12	2	14
MYC	12	1	13
TGFB1	9	1	10
TP53	6	2	8
JUN	6	1	7
NFKB1	5	1	6
CTNNB1	4	1	5
PRKCA	3	1	4
AKT1	2	2	4
SMAD4	3	1	4
SMAD3	3	1	4
NOTCH1	3	1	4
FOXO1	3	1	4
EGF	3	1	4
CREB1	3	1	4
CEBPB	3	1	4
ATF3	3	1	4
RELA	2	1	3
PRKCZ	1	2	3
ROCK1	1	2	3
RPS6KB1	1	2	3
TGFBR2	2	1	3
STAT3	2	1	3
SP3	2	1	3
SP1	2	1	3
PPP2CB	2	1	3
CHEK1	2	1	3
ETS2	2	1	3
EGR1	2	1	3
CSNK2A1	2	1	3
ATM	2	1	3
NRF1	2	1	3
CDK3	2	1	3
ROCK2	1	1	2
OXSR1	1	1	2
PIN1	1	1	2
PRDX3	1	1	2
PRKD1	1	1	2
RB1	1	1	2
MMP14	1	1	2
RPS6KA3	1	1	2
SEMA3B	1	1	2
SNCA	1	1	2
SREBF1	1	1	2
ZBTB4	1	1	2
RAF1	0	2	2
MAP2K1	0	2	2
NKX3-1	1	1	2
NOG	1	1	2
MAPKAPK2	1	1	2
ECM1	1	1	2
KLF5	1	1	2
AKT3	1	1	2
ATF6	1	1	2
CCN2	1	1	2
CDKN1A	1	1	2
CFB	1	1	2
CSNK2A2	1	1	2
DKK1	1	1	2
E2F4	1	1	2
BRCA1	1	1	2
EEF1D	1	1	2
GREM1	1	1	2
HDAC6	1	1	2
IRF2	1	1	2
JAK2	1	1	2
KLC1	1	1	2
EGR2	1	1	2
CSTB	0	1	1
PRDX5	0	1	1
LFNG	0	1	1
ADAM19	0	1	1
GDF6	0	1	1
DKK3	0	1	1
RBBP4	0	1	1
PTX3	0	1	1
SFRP2	0	1	1
VDAC1	0	1	1
UROD	0	1	1
PDIA5	0	1	1
LGALS1	0	1	1
INHBA	0	1	1
ANP32A	0	1	1
GOLM1	0	1	1
PRKG1	0	1	1
C1QBP	0	1	1
AMIGO2	0	1	1
PNP	0	1	1
MMP2	0	1	1
PRNP	0	1	1
PLK3	0	1	1
UHMK1	0	1	1
SPARC	0	1	1
BGN	0	1	1
CPE	0	1	1
DLST	0	1	1
ACAT1	0	1	1
PSMB2	0	1	1
SERPINE1	0	1	1
LTBP4	0	1	1
NRP2	0	1	1
PHB2	0	1	1
CD63	0	1	1
PFDN4	0	1	1
TAGLN2	0	1	1
IL11	0	1	1
RCN1	0	1	1
HTRA1	0	1	1
CDC42	0	1	1
SET	0	1	1
IGFBP3	0	1	1
SLC39A10	0	1	1
AURKB	0	1	1
EEF1B2	0	1	1
HSPG2	0	1	1
MACROH2A1	0	1	1
PPM1G	0	1	1
NUCB1	0	1	1
RBBP7	0	1	1
PRKG2	1	0	1
NAP1L4	0	1	1
ARF4	0	1	1
RPS6KA1	0	1	1
IGFBP7	0	1	1
ANP32B	0	1	1
TOR1A	0	1	1
TGFBI	0	1	1
SMARCA1	0	1	1
POSTN	0	1	1
MMP11	0	1	1
ALOX12B	0	1	1
CSPG4	0	1	1
BLMH	0	1	1
TUBA4A	0	1	1
GDF5	0	1	1
CTSV	0	1	1
C1QTNF5	0	1	1
SERPINE2	0	1	1
RPS15A	0	1	1
